time,magnitude,e_magnitude,band,telescope
59532.43600689992,19.7016,0.162775,sdssr,ZTF
59532.41627309984,19.6464,0.11529600000000001,sdssg,ZTF
59531.42123840004,19.9359,0.13176500000000002,sdssr,ZTF
59531.38016200018,19.5502,0.12081800000000001,sdssg,ZTF
59530.443368100096,19.8324,0.24194200000000002,sdssr,ZTF
59530.406504599836,19.6071,0.209265,sdssg,ZTF
59529.40678239986,19.9094,0.147753,sdssr,ZTF
59529.38289349992,19.6398,0.141663,sdssg,ZTF
59527.37371530012,19.6332,0.26569,sdssr,ZTF
59526.48817129992,19.9109,0.16197899999999998,sdssr,ZTF
59526.44899309985,19.5758,0.09372799999999999,sdssg,ZTF
59525.4665045999,19.6275,0.110267,sdssg,ZTF
59525.45587959979,19.7867,0.10468,sdssr,ZTF
59524.50809030003,19.5751,0.114765,sdssg,ZTF
59524.446979199995,19.7329,0.123053,sdssr,ZTF
59523.49936340004,19.7377,0.132173,sdssr,ZTF
59523.44945599978,19.5193,0.09114589999999999,sdssg,ZTF
59522.45644679992,19.5898,0.114811,sdssg,ZTF
59521.451018500135,19.6946,0.10761199999999999,sdssr,ZTF
59518.49149309984,19.698,0.110775,sdssr,ZTF
59518.37383100018,19.3908,0.0903572,sdssg,ZTF
59517.503483800225,19.7877,0.146858,sdssr,ZTF
59517.465983800124,19.5816,0.10879200000000001,sdssg,ZTF
59509.422743100215,19.6946,0.21669000000000002,sdssg,ZTF
59509.422280100174,19.3311,0.170397,sdssg,ZTF
59503.49721059995,19.4171,0.133802,sdssg,ZTF
59503.47932869988,19.3259,0.09449149999999999,sdssg,ZTF
59503.423819399904,19.5661,0.18653,sdssr,ZTF
59503.3746181,19.6445,0.23177199999999998,sdssr,ZTF
59500.48756940012,19.5487,0.125975,sdssr,ZTF
59500.445370399866,19.3052,0.11573399999999999,sdssg,ZTF
59500.444895800196,19.4345,0.16284500000000002,sdssg,ZTF
59496.48753469996,19.4838,0.16808199999999998,sdssg,ZTF
59496.463043999865,19.4798,0.12601800000000002,sdssr,ZTF
59496.455254599925,19.4977,0.132939,sdssr,ZTF
59489.48761569987,19.432000000000002,0.10874400000000001,sdssg,ZTF
59489.47600689996,19.5164,0.144775,sdssr,ZTF
59488.49812499993,19.3731,0.124819,sdssg,ZTF
59483.487094900105,19.5609,0.173923,sdssr,ZTF
59479.44782410003,19.524,0.257251,sdssr,ZTF
59479.446411999874,19.5557,0.23909299999999997,sdssr,ZTF
59477.4944329001,19.3182,0.131028,sdssr,ZTF
59477.46910879994,19.2966,0.168713,sdssg,ZTF
59477.468634299934,19.2256,0.175258,sdssg,ZTF
59474.45005790005,19.0764,0.113226,sdssg,ZTF
59474.449583299924,19.1518,0.15066500000000002,sdssg,ZTF
59472.49587959983,19.2959,0.11754200000000001,sdssr,ZTF
